upstream_commit,file,test,behavior,copper_owner,copper_test,disposition,notes
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestFix_TrailingOptionalMatch_WhereOnOptionalClause,"WHERE attached to trailing OPTIONAL MATCH filters optional candidates while preserving a null-extended left row",eval,"test_trailing_optional_match_where_null_extends_rejected_candidate",implemented,"Evaluates attached WHERE predicates against completed relationship rows before optional null extension and consumes the following WHERE clause."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestBug_TrailingOptionalMatch_RelVarDropped,"trailing OPTIONAL MATCH preserves relationship-property projection from preceding MATCH",eval,"test_trailing_optional_match_preserves_relationship_property_projection",merged-equivalent,"Existing binding propagation retains the preceding relationship object and its properties; this regression adds exact upstream evidence."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestBug_TrailingOptionalMatch_ChainedOptionalBindingUnbound,"a second trailing OPTIONAL MATCH consumes the binding produced by the first and projects its endpoint",eval,"test_chained_optional_match_projects_second_optional_binding",merged-equivalent,"Existing chained optional execution carries the first optional relationship endpoint into the next pattern; this regression adds exact upstream evidence."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestFix_TrailingOptionalMatch_OrderByLimit,"ORDER BY and LIMIT apply after trailing OPTIONAL MATCH traversal",eval,"test_trailing_optional_match_applies_order_before_limit",merged-equivalent,"Existing terminal projection sorts optional-match result rows before applying LIMIT; this regression adds exact upstream evidence."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestBug_TrailingOptionalMatch_FunctionProjectionCorrupted,"function projection resolves the preceding relationship binding after trailing OPTIONAL MATCH",eval,"test_trailing_optional_match_preserves_prior_relationship_function_projection",merged-equivalent,"The exact relationship type projection is asserted for matched and null-extended optional rows."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestBug_TrailingOptionalMatch_AggregateCorrupted,"aggregate projection evaluates after trailing OPTIONAL MATCH traversal",eval,"test_trailing_optional_match_groups_file_aggregate_by_target",merged-equivalent,"The regression asserts count(file) across two optional matches, a stronger aggregation cardinality check than the single-row upstream case."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestControl_NoOptionalMatch_FunctionProjectionCorrect,"relationship function projection remains correct without OPTIONAL MATCH",eval,"test_relationship_function_projection_without_optional_match",merged-equivalent,"The exact no-OPTIONAL-MATCH control asserts type(rel) and target projection from the primary relationship binding."
2959060f,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestBug_MultiMatchRelationshipBindingRebinding,"repeated relationship variables retain one edge binding across MATCH clauses",eval,"test_multi_match_relationship_rebinding_requires_same_edge",merged-equivalent,"Existing chained-MATCH row merge preserves the bound edge; this regression adds exact upstream evidence."
98f6b4c1,pkg/cypher/inlist_start_node_index_seed_bug_test.go,TestBug_InListStartNodeDoesNotIndexSeed_NoLabelScan,"relationship traversal seeded by start-node property IN list uses the property index",eval,"test_relationship_match_in_list_seeds_from_property_index",implemented,"Adds an indexed IN-list start-node seed and the traversal_start_seed_property_in trace assertion."
98f6b4c1,pkg/cypher/inlist_start_node_index_seed_bug_test.go,TestBug_InListStartNodeDoesNotIndexSeed,"indexed IN-list relationship traversal returns the selected source and target pairs in order",eval,"test_relationship_match_in_list_seeds_from_property_index",implemented,"The index-seed regression now asserts exact ordered source/target rows alongside its no-label-scan trace proof."
98f6b4c1,pkg/cypher/inlist_start_node_index_seed_bug_test.go,TestBug_InListStartNodeDoesNotIndexSeed_DeleteVariant,"IN-list constrained relationship DELETE removes only selected matching relationships",eval,"test_relationship_delete_with_in_list_start_node",implemented,"Copper now has exact deletion-shape evidence; the upstream scan budget applies to the non-transactional RETURN form above."
98f6b4c1,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestBug_MultiMatchRelationshipBindingLost,"relationships introduced in a later MATCH remain bound for predicates, aggregation, projection, and DELETE",eval,"test_multi_match_retains_later_relationship_binding",merged-equivalent,"Existing chained MATCH execution retains later relationship bindings; this regression adds exact upstream observable evidence."
98f6b4c1,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestBug_MultiMatchRelationshipBindingLost_Variations,"multiple relationship variables remain available through three chained MATCH clauses",eval,"test_multi_match_carries_multiple_relationship_bindings",merged-equivalent,"Exact three-clause relationship-binding carry-forward evidence; remaining upstream subcases still require individually mapped evidence."
98f6b4c1,pkg/cypher/inlist_start_node_index_seed_bug_test.go,TestTryCollectNodesFromPropertyIndexInCompound,"compound AND predicates expose a start-node IN-list to property-index seeding",eval,"test_relationship_delete_with_in_list_start_node",merged-equivalent,"The public DELETE regression uses parameterized s.uid IN $uids AND rel.evidence_source filtering, proving Copper's AST-based AND extraction and indexed start traversal."
98f6b4c1,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestMergeRelBindings,"Go-private relationship binding map merge helper",eval,none,non-applicable,"Copper represents bindings as a single JSON row and has no corresponding separate relationship-map merge helper; public chained-MATCH binding behavior is covered above."
98f6b4c1,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestBindingWithRelView,"Go-private relationship pseudo-node WHERE adapter",eval,none,non-applicable,"Copper evaluates relationship bindings directly as JSON objects rather than converting them to pseudo-node views; public relationship predicate behavior is covered by the mapped regressions."
98f6b4c1,pkg/cypher/multi_match_relationship_binding_bug_test.go,TestResolveBindingExprUnboundVariable,"Go-private expression fallback helper for unbound relationship variables",eval,none,non-applicable,"Copper has no resolveBindingExpr adapter; expression evaluation uses its AST and JSON row bindings, with public unbound/null behavior covered elsewhere."
8775bf1c,pkg/cypher/pr_regressions_test.go,TestRegression_RemoveRelationshipPropertyIsScopedToRelationship,"REMOVE relationship property affects neither endpoint nor unrelated relationship properties",eval,"test_remove_relationship_property_is_scoped_to_relationship",merged-equivalent,"Existing mutation dispatch scopes REMOVE to the relationship binding; this regression adds exact upstream evidence."
8775bf1c,pkg/cypher/pr_regressions_test.go,TestRegression_TypedUndirectedRelationshipExistenceRespectsRelationshipType,"typed undirected relationship predicates only match endpoints connected by the requested type",cypher/eval,"test_typed_undirected_relationship_existence_respects_type",implemented,"Adds anonymous endpoint parsing and type-aware undirected existence evaluation for WHERE pattern predicates."
8775bf1c,pkg/cypher/pr_regressions_test.go,TestRegression_ExecuteMatchEmbeddedOptionalMatchProjectsRelationshipVariable,"OPTIONAL MATCH projects bound relationship and node variables with relationship type and properties",eval,"test_optional_match_projects_relationship_and_node_variables",merged-equivalent,"Existing optional-match projection retains relationship metadata and optional node properties; this regression adds exact upstream evidence."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_DisconnectedSingleNodeOptionalMatch,"disconnected single-node OPTIONAL MATCH joins independent matches and preserves left rows with null extension when unmatched",eval,"test_disconnected_optional_node_match_joins_or_null_fills",merged-equivalent,"Existing node-only optional execution provides independent join and null-extension semantics; this regression adds exact upstream evidence."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_DisconnectedRelationshipOptionalMatch,"disconnected relationship OPTIONAL MATCH independently joins its relationship and endpoint bindings",eval,"test_disconnected_optional_relationship_match_joins_independently",merged-equivalent,"Existing relationship optional execution independently joins disconnected relationship matches; this regression adds exact upstream evidence."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_BoundSingleNodeOptionalMatchIsRowPreserving,"node-only OPTIONAL MATCH preserves an existing bound variable when its optional labels or properties do not match",eval,"test_bound_optional_node_match_preserves_existing_binding",implemented,"Node-only optional execution now resolves bound variables per row and preserves them on mismatch instead of overwriting them with null."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_MultiHopChainOptionalMatch,"multi-hop OPTIONAL MATCH binds every node and relationship-chain variable",eval,"test_multi_hop_optional_match_binds_every_chain_variable",merged-equivalent,"Existing optional relationship traversal binds the complete multi-hop chain; this regression adds exact upstream evidence."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_MixedAggregateExpression,"aggregate-containing return expressions evaluate correctly after OPTIONAL MATCH traversal",eval,"test_optional_match_mixed_aggregate_expressions",merged-equivalent,"Existing aggregate evaluation supports count expression composition and coalesced sum after optional traversal; this regression adds exact upstream evidence."
e4b84afe,pkg/cypher/bug_optional_match_function_projection_test.go,TestSupport_StdevAggregate,"stdev and stdevp use Neo4j-compatible sample and population deviation semantics",filter/eval,"test_optional_match_stdev_and_stdevp_aggregates",implemented,"Adds aggregate classification, per-row function support, Welford reduction, null empty identities, zero single-value identities, and builtin function discovery."
b46ceb1f,pkg/cypher/transaction_unwind_delete_test.go,TestExplicitTransactionUnwindDeleteCommitAndRollback,"explicit transaction UNWIND relationship delete reports one deletion and commit/rollback preserve expected visibility",server,"appstate_bolt_executor_unwind_relationship_delete_commits_or_rolls_back",merged-equivalent,"Existing AppState Bolt transaction overlays delete the relationship once despite duplicate UNWIND values and preserve commit/rollback semantics; this regression adds exact upstream evidence."
b46ceb1f,pkg/cypher/transaction_unwind_delete_test.go,TestExplicitTransactionUnwindDeleteEmptyInput,"empty explicit-transaction UNWIND relationship delete is a no-op with zero deletion statistics",server,"appstate_bolt_executor_unwind_relationship_delete_empty_input_is_noop",merged-equivalent,"Existing AppState Bolt transaction overlays preserve the relationship and report zero deletions for an empty UNWIND input; this regression adds exact upstream evidence."
b46ceb1f,pkg/cypher/query_stats_test.go,TestAddQueryStats,"mutation statistics aggregate each counter across UNWIND execution rows",server,"appstate_bolt_executor_unwinds_staged_transaction_rows",merged-equivalent,"The real transaction executor now has executable evidence that UNWIND creates aggregate node and property counters per row."
b46ceb1f,pkg/bolt/execute_write_relationship_delete_test.go,TestDatabaseManagerBoltExecuteWriteDeletesUnwindMatchedRelationship,"Bolt ExecuteWrite exposes UNWIND relationship deletion and aggregated mutation counters in terminal summaries",server/bolt,"appstate_bolt_executor_unwind_relationship_delete_commits_or_rolls_back; terminal_result_summary_includes_mutation_counters",merged-equivalent,"Real AppState transaction evidence covers the matched deletion, commit, rollback, empty input, and idempotent statistics; Bolt protocol coverage now asserts relationships-deleted summary serialization."
389fb2e6,pkg/bolt/execute_write_relationship_delete_test.go,TestDatabaseManagerBoltExecuteWriteDeletesUnwindMatchedRelationship,"UNWIND MATCH WITH preserves staged rows through SET, REMOVE, and DETACH DELETE while aggregating mutation counters",eval/server,"appstate_bolt_executor_unwind_match_with_mutations_aggregate_counters",implemented,"Adds explicit-transaction REMOVE property counter aggregation and exact WITH-routed mutation evidence."
